source,target,length
566,574,5.16
567,581,12.24
567,567,4.0
567,584,11.04
568,568,2.83
568,577,5.16
568,621,10.95
569,569,2.0
572,598,5.83
573,583,7.36
573,594,10.02
574,580,6.0
574,628,10.49
574,591,5.24
576,577,6.47
576,608,5.89
576,609,5.61
577,609,5.83
578,589,9.24
579,603,12.83
580,595,2.83
581,591,3.83
582,605,7.07
582,612,7.65
583,631,13.09
583,637,12.41
584,585,11.8
584,642,20.26
584,629,14.13
585,585,5.89
586,586,4.47
586,635,9.06
587,588,12.84
587,607,5.83
587,630,12.54
587,593,16.88
588,607,7.3
588,599,12.67
588,601,4.83
589,602,7.4
589,631,13.24
590,590,4.0
590,632,7.43
590,633,8.85
591,623,10.3
592,592,2.0
592,605,6.06
593,619,8.07
594,616,10.48
594,637,12.49
594,646,8.07
594,662,9.24
595,610,4.83
597,618,7.06
597,606,6.06
598,624,7.24
599,615,5.4
599,608,9.16
599,625,6.84
600,621,10.21
600,644,11.02
601,615,4.41
601,630,12.3
602,631,5.24
603,617,4.24
605,639,10.06
606,624,6.65
606,643,5.65
607,630,5.0
608,626,5.0
609,627,4.24
610,633,8.06
610,628,4.58
612,639,6.66
612,634,7.71
613,613,2.0
613,618,3.0
614,614,2.0
614,619,5.47
615,625,5.89
616,617,8.66
616,640,7.61
617,640,9.07
618,618,2.83
619,650,10.58
621,627,5.41
621,644,8.85
621,661,7.0
623,623,4.47
623,629,5.0
623,652,8.18
623,658,6.58
624,650,6.83
625,626,10.51
625,625,4.47
625,660,7.16
626,651,7.26
626,660,11.54
627,651,8.89
628,641,4.0
629,642,4.47
631,637,11.06
631,685,11.61
632,647,5.0
632,668,16.48
633,663,5.58
633,641,10.83
634,639,8.77
634,634,8.25
634,670,6.48
635,636,8.3
635,649,8.83
636,636,2.0
636,649,4.24
637,637,2.83
637,685,11.68
637,694,9.65
638,638,2.0
638,648,10.02
638,659,21.2
639,708,28.54
640,646,5.12
640,675,11.65
640,656,8.16
641,657,3.41
642,658,5.65
643,643,2.83
643,667,6.81
644,645,8.63
644,673,5.02
644,674,6.77
645,697,13.43
645,684,9.54
646,662,4.24
647,663,8.02
647,680,5.24
648,653,15.4
648,681,7.66
648,648,4.47
648,695,8.65
649,687,14.78
650,671,5.0
651,679,11.3
652,652,4.47
652,657,10.58
652,676,5.24
652,677,8.43
653,653,5.66
653,725,21.47
653,681,4.24
653,711,8.21
653,720,10.16
656,656,2.0
656,668,14.49
657,699,8.48
658,677,3.41
659,659,16.12
659,669,8.94
659,700,7.41
659,721,15.5
659,732,14.94
660,693,10.64
660,702,14.16
661,679,14.67
661,673,3.41
662,675,3.0
663,710,11.31
667,667,4.0
667,687,8.81
667,701,7.02
668,686,3.83
669,700,4.65
669,707,16.46
670,696,14.43
670,708,7.0
671,671,2.0
671,691,6.06
673,689,3.41
674,684,5.4
674,689,5.24
675,705,11.08
676,690,3.65
676,699,6.48
677,690,6.83
679,693,15.79
679,679,10.02
679,747,15.22
679,774,14.73
679,761,17.55
680,686,7.0
680,698,5.0
681,695,6.47
684,697,9.02
685,704,8.83
685,722,10.4
685,715,6.41
686,723,9.48
687,687,4.47
687,729,10.06
688,688,7.21
688,709,8.41
688,730,8.94
689,756,16.71
690,724,10.48
691,692,10.72
691,741,16.77
691,714,8.48
692,692,2.83
692,714,4.65
693,747,9.61
694,704,2.41
694,705,5.16
695,720,4.47
695,706,7.81
696,708,11.16
696,728,6.77
697,715,6.47
698,698,4.0
698,757,11.99
699,724,4.41
700,712,4.83
701,701,2.0
701,729,6.06
702,709,4.0
702,743,10.0
704,722,5.58
705,722,9.7
706,721,9.84
706,749,9.54
707,712,6.0
707,733,4.24
709,743,8.0
710,752,14.31
710,739,5.41
711,725,8.66
711,726,4.58
712,732,4.0
714,730,9.89
714,742,5.24
715,734,5.16
717,718,10.48
717,737,5.65
717,738,6.06
718,723,9.24
718,738,7.65
720,726,10.64
720,748,7.24
721,721,10.2
721,749,11.61
722,736,6.41
722,768,10.67
723,751,7.0
724,735,5.02
725,745,6.1
725,726,7.32
725,753,11.08
725,758,6.24
726,753,7.12
728,728,4.47
728,786,25.39
729,741,24.79
730,742,11.3
730,755,6.89
730,765,6.41
732,759,6.24
733,746,9.83
733,754,7.4
734,736,6.16
734,734,4.47
734,767,11.23
735,772,14.98
735,739,12.54
736,767,8.41
737,750,5.65
737,738,7.83
738,751,16.24
739,752,4.65
741,741,11.66
741,742,9.23
741,822,21.2
743,760,12.83
743,755,9.8
743,797,14.82
743,804,11.41
745,745,2.83
745,758,5.84
746,754,6.47
746,746,4.0
747,760,3.65
748,748,2.0
748,763,4.58
749,763,7.61
749,802,13.68
750,768,9.65
750,778,5.41
751,762,3.41
752,757,8.0
752,772,5.16
753,753,7.21
753,777,5.65
753,781,8.07
753,793,8.12
754,759,6.16
754,809,11.65
755,765,4.83
756,761,5.0
756,788,7.83
757,780,7.61
758,773,4.58
758,781,7.4
759,795,8.24
760,783,6.24
761,784,6.24
762,762,2.0
762,775,4.24
763,777,6.41
763,808,8.06
763,802,11.47
765,787,6.0
766,766,3.41
766,789,7.58
767,805,8.07
768,806,17.9
769,792,9.18
769,773,8.0
769,814,8.89
772,800,7.02
773,801,6.06
774,783,9.4
774,811,14.02
775,785,5.24
775,813,8.95
777,794,4.0
778,812,6.47
778,791,16.48
780,800,5.41
780,813,9.05
780,819,6.02
781,801,4.24
781,793,6.65
783,797,10.99
784,811,10.95
784,823,8.16
785,807,5.4
785,818,7.54
786,786,2.83
787,804,12.24
787,822,9.49
788,789,8.24
788,824,6.47
789,816,6.24
789,845,17.1
791,807,4.24
791,830,11.13
792,831,12.78
792,814,9.61
792,834,7.95
793,794,6.61
793,843,12.08
793,832,5.4
794,808,3.65
795,809,4.83
795,820,4.41
797,821,8.71
797,827,5.4
798,798,2.83
798,805,2.41
798,806,15.08
800,819,3.41
801,814,9.06
802,808,7.4
802,849,10.12
804,821,5.24
805,825,5.41
806,812,15.63
806,825,6.02
806,841,10.69
806,851,15.26
806,856,7.99
806,871,21.21
807,830,11.86
807,818,7.43
808,832,7.66
809,820,4.24
811,823,7.77
811,860,21.36
812,812,4.0
812,839,6.83
813,818,7.16
813,847,16.33
814,840,7.83
814,842,9.66
815,815,2.83
815,849,18.66
816,829,8.06
816,833,4.65
818,830,13.67
818,847,9.0
819,835,7.89
820,820,2.0
821,850,8.82
822,822,6.32
822,850,17.54
823,824,7.12
823,844,5.83
823,857,16.73
824,854,10.85
825,829,11.41
827,827,2.0
829,833,4.0
829,851,6.61
830,839,10.0
830,847,12.08
830,855,5.4
830,862,14.28
831,836,11.67
831,852,11.01
831,834,7.24
832,843,14.66
833,845,12.3
834,840,8.4
835,848,4.65
835,836,4.0
836,852,5.16
839,846,3.83
840,840,4.47
840,842,6.24
841,846,4.0
841,856,5.06
842,843,6.0
844,854,7.24
844,857,9.94
845,851,15.31
845,854,10.12
845,868,12.49
845,878,9.1
845,871,18.12
846,862,7.65
847,855,10.25
847,847,8.94
848,858,11.95
848,859,5.66
849,849,6.32
849,864,8.37
850,860,21.99
852,859,4.83
852,865,8.06
854,857,11.88
854,868,8.16
855,863,6.61
856,861,3.0
857,860,20.71
857,868,9.4
857,883,8.51
858,872,11.06
858,877,7.43
858,873,11.12
858,880,7.47
859,873,7.24
